This file was created by CMPT_ME_PRIOR_RETS using the 202112 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
LT_Rev is the average of the returns on two (big and small) low prior return portfolios
minus the average of the returns on two high prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured from month -60 to -13.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,LT_Rev
200706,  -0.16
200707,  -2.10
200708,  -0.11
200709,  -2.81
200710,  -1.57
200711,   0.64
200712,  -1.89
200801,   1.79
200802,  -2.09
200803,   2.85
200804,  -4.53
200805,  -4.45
200806,  -3.17
200807,   7.34
200808,   1.39
200809,   5.78
200810,   2.23
200811,  -2.54
200812,   0.11
200901,  -6.97
200902,   1.16
200903,   3.57
200904,  -0.33
200905,  -1.48
200906,   1.31
200907,   5.14
200908,   5.62
200909,  -1.68
200910,  -4.90
200911,   1.39
200912,   0.71
201001,   1.63
201002,   2.62
201003,   4.41
201004,   4.81
201005,  -3.07
201006,  -5.47
201007,   0.79
201008,  -3.85
201009,   1.93
201010,  -2.27
201011,  -0.93
201012,   4.73
201101,   0.88
201102,   1.14
201103,  -2.00
201104,  -2.21
201105,  -2.43
201106,  -1.96
201107,  -2.54
201108,  -6.31
201109,  -5.15
201110,   3.65
201111,  -3.49
201112,   2.09
201201,   1.54
201202,   1.73
201203,   2.73
201204,  -1.87
201205,  -1.75
201206,   1.66
201207,  -2.10
201208,   1.87
201209,   1.79
201210,   1.06
201211,  -0.68
201212,   3.76
201301,   3.34
201302,   0.04
201303,   1.29
201304,  -0.36
201305,   3.34
201306,  -0.64
201307,   1.69
201308,  -1.35
201309,   0.02
201310,   0.30
201311,   0.35
201312,  -1.05
201401,   1.16
201402,  -1.30
201403,   2.91
201404,   0.13
201405,  -0.70
201406,   0.40
201407,   0.24
201408,  -1.35
201409,  -1.09
201410,  -3.22
201411,  -1.57
201412,   0.47
201501,  -3.34
201502,  -2.04
201503,  -2.52
201504,   1.20
201505,  -0.81
201506,  -0.98
201507,  -1.59
201508,   1.26
201509,   0.07
201510,  -0.68
201511,  -0.07
201512,  -2.45
201601,  -1.10
201602,   0.67
201603,   4.06
201604,   4.94
201605,  -2.22
201606,   1.40
201607,  -0.19
201608,   0.69
201609,   1.76
201610,  -0.97
201611,   2.18
201612,  -2.72
201701,  -1.27
201702,  -3.33
201703,  -1.22
201704,  -3.64
201705,  -2.65
201706,  -0.65
201707,   0.61
201708,  -1.96
201709,   0.61
201710,  -1.82
201711,   0.73
201712,   2.06
201801,  -1.92
201802,  -3.39
